title,phone_1,phone_2,phone_3,address
IT Bits Software & Events,+97142879755,null,null,"The Metropolis, 57, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Tech Automation,null,null,null,"Churchill Tower, 57a, 7 street, Business Bay, Za'abeel, Dubai, Dubai Municipality"
10X Software Foundations,+97143972723,+971559468090,80072723,Company
ARBP Worldwide,+971558554258,+971523653456,null,"Blue Bay Tower, 44, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Visual Ace Business Solutions,+97142234787,+971504567077,null,"Burlington Tower, 22, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Fifth Designs,+97144511148,+97145142411,null,Software sales
Infas Middle East,+97142973775,+97142973776,+97145808611,"Bay Square 11, 69, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality2 branches"
Permus Software House,null,null,null,"ICD Brookfield Place, 11a, Al Mustaqbal street, Za'abeel 2, Za'abeel, Dubai, Dubai Municipality"
ELMNTX Innovations,+971586988225,null,null,"Business Central Towers, 6-10, Al Jaddi street, Al Sufouh 2, Jumeirah, Dubai, Dubai Municipality"
Jafra Technical Solutions,+97144521116,null,null,"ETA Star's Al Manara Tower, 6, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Gibraltar Technologies,+97144587748,null,null,"The Citadel Tower, 10, Marasi Drive, Business Bay, Za'abeel, Dubai, Dubai Municipality"
Axellect,+97144529950,null,null,"Central Park Office Tower, Dubai2 branches"
Barcode Links Electronics Trading,+97144514038,+971565440892,null,"Al Mulla Al Souq Al Kabeer, 2/1, Sikka 6 street, Al Souq Al Kabeer, Bur Dubai, Dubai, Dubai Municipality"
Inditech General Trading,+971552277528,+97143885756,null,"Al Khaleej Building, 37, 20b street, Al Karama, Bur Dubai, Dubai, Dubai Municipality"
Smart 360 Technologies,null,null,null,"Belhoul Group, 4, 8 street, Al Garhoud, Deira, Dubai, Dubai Municipality"
